Просмотры,Время просмотра (часы),Поделились,Постоянные зрители,Новые комментарии,Отказались от подписки,Новые подписчики,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,CTR для значков видео (%),Показы,Подписчики,Средний процент просмотра (%),Процент лайков,Средняя продолжительность просмотра,Дизлайки,Лайки
475.0,21.2038,9.0,84.0,0.0,5.0,5.0,144.0,2.0833,228.0,4.25,5176.0,0.0,30.51,100.0,160.70248421052634,0.0,16.0
174.0,5.4814,1.0,48.0,0.0,1.0,1.0,60.0,1.6111,108.0,4.05,2222.0,0.0,19.52,100.0,113.40827586206898,0.0,4.0
490.0,17.8182,3.0,94.0,0.0,1.0,1.0,133.0,2.1586,227.0,5.27,5584.0,0.0,23.51,75.0,130.90922448979592,1.0,3.0
665.0,25.9174,10.0,128.0,1.0,2.0,1.0,231.0,1.8524,359.0,5.78,6759.0,-1.0,25.35,100.0,140.30472180451127,0.0,8.0
971.0,35.385,4.0,166.0,0.0,3.0,7.0,362.0,1.839,528.0,7.04,6736.0,4.0,21.72,85.71,131.19052523171987,2.0,12.0
1322.0,48.6134,9.0,219.0,0.0,1.0,6.0,485.0,1.8778,704.0,6.61,9408.0,5.0,21.85,100.0,132.38142208774585,0.0,27.0
1321.0,49.7077,6.0,234.0,0.0,4.0,6.0,475.0,1.8632,709.0,7.72,10305.0,2.0,23.07,78.57,135.4638304314913,3.0,11.0
1515.0,54.7859,14.0,278.0,1.0,3.0,8.0,571.0,1.7845,849.0,7.08,11801.0,5.0,21.86,100.0,130.18431683168316,0.0,20.0
776.0,24.5667,5.0,160.0,0.0,2.0,5.0,322.0,1.61,482.0,6.99,5806.0,3.0,19.2,78.57,113.96922680412372,3.0,11.0
978.0,30.5683,7.0,202.0,0.0,2.0,1.0,418.0,1.5774,620.0,7.15,7878.0,-1.0,19.14,84.62,112.52134969325154,2.0,11.0
1435.0,51.5961,9.0,255.0,0.0,1.0,4.0,586.0,1.7063,841.0,7.31,10746.0,3.0,21.58,85.0,129.43969337979092,3.0,17.0
1819.0,60.8586,18.0,306.0,0.0,0.0,9.0,689.0,1.8281,995.0,6.4,15772.0,9.0,20.31,96.55,120.44582737768006,1.0,28.0
1642.0,53.457,15.0,310.0,2.0,1.0,5.0,661.0,1.691,971.0,8.04,11026.0,4.0,20.15,85.0,117.20170523751523,3.0,17.0
1941.0,72.9155,14.0,317.0,3.0,2.0,6.0,654.0,1.999,971.0,7.75,13763.0,4.0,24.19,100.0,135.23740340030912,0.0,18.0
1755.0,56.0002,11.0,317.0,0.0,0.0,12.0,646.0,1.8224,963.0,8.52,11695.0,12.0,19.85,90.91,114.87220512820512,2.0,20.0
1047.0,38.487,11.0,198.0,0.0,2.0,9.0,381.0,1.8083,579.0,6.96,8317.0,7.0,23.96,92.86,132.33352435530088,1.0,13.0
